category,round,value,clue,answer
IT'S A DATE,2,2000,"This Mideast war ended on June 10, 1967 when the U.N. negotiated a cease-fire",the Six-Day War
,,,,
ITALIAN OPERA,2,400,"Vincenzo Bellini's ""I Capuleti e i Montecchi"" is based on this Shakespeare work",Romeo and Juliet
,,,,
ITALIAN OPERA,2,800,"The khedive of Egypt considered Wagner & Gounod to write the music for this opera, but Verdi won out in the end",Aida
,,,,
ITALIAN OPERA,2,1200,"A double bill of Mascagni's ""Cavalleria rusticana"" & this Leoncavallo opera is called ""Cav & Pag""",Pagliacci
,,,,
ITALIAN OPERA,2,1600,"He said he composed 94 operas, which would have kept him busy all ""Four Seasons""; many are now lost, but not ""Orlando Furioso""",Vivaldi
,,,,
ITALIAN OPERA,2,2000,"Based on the same myth, Peri's ""Euridice"" & this Monteverdi work are 2 of the earliest Italian operas",L'Orfeo
,,,,
JONATHAN SWIFTIES,1,200,"Jonathan Swift famously observed that this food ""is the staff of life""",bread
,,,,
JONATHAN SWIFTIES,1,400,"This genre for which Swift was renowned is ""a sort of glass, wherein beholders do generally discover everybody's face but their own""",satire
,,,,
JOURNALISTS,2,400,"A memorial in Westminster Abbey commemorates Richard Dimbleby, this network's first war correspondent",the BBC
,,,,
JOURNALISTS,2,800,He's moved on from local newscasts in Birmingham and Chicago to become a nightly anchor at CNN,Don Lemon
,,,,
JOURNALISTS,2,1200,"From 1962 to 1981 he ended CBS Evening News broadcasts with the signoff ""And that's the way it is""",Cronkite
,,,,
JOURNALISTS,2,1600,"(David Muir of ABC World News Tonight presents the clue.) In 2018, ABC's ""World News Tonight"" and I were proud to be named Best Newscast as recipients of the Radio-Television Digital News Association Award named for this legendary newsman",(Edward R.) Murrow
,,,,
JOURNALISTS,2,2000,"A longtime newspaperman, this author of ""An Occurrence at Owl Creek Bridge"" vanished after going to Mexico in 1913",(Ambrose) Bierce
,,,,
JUDGES,2,200,"In 1981, Ronald Reagan nominated this 51-year-old Arizona appellate court judge to the Supreme Court",Sandra Day O'Connor
,,,,
JUDGES,2,400,"John T. Raulston presided over the 1925 ""Monkey"" trial of this Tennessee teacher",Scopes
,,,,
JUDGES,2,1000,"(Hi, I'm Melissa Joan Hart.) Of all the judges that presided over the witchcraft trials in this city, only one, Samuel Sewall, admitted his error",Salem (Massachusetts)
,,,,
JUDGES,2,800,Judge who was appointed as the first commissioner of professional baseball,(Kenesaw Mountain) Landis
,,,,
JUDGES,2,1000,"""The Tales of"" this Chicago 7 trial judge include his having Bobby Seale bound & gagged",Hoffman
,,,,
KEN JENNINGS ON WINNING STREAKS,1,200,"(Ken Jennings presents the clue.) After going 7 and 3 arguing before the Supreme Court, he reeled off an amazing 22 straight wins, including the unanimously decided Brown vs. the Board of Education and would join the court himself in 1967",(Thurgood) Marshall
,,,,
KEN JENNINGS ON WINNING STREAKS,1,400,"(Ken Jennings presents the clue.) This Midwesterner did have some down years in his 50-plus-year investing success story but also some pretty good streaks, including a nine-year run where shares in his company increased in value by an average of 52% a year",(Warren) Buffett
,,,,
KEN JENNINGS ON WINNING STREAKS,1,600,"(Ken Jennings presents the clue.) In the 19th century, Mischief, Vigilant, and, appropriately, Defender kept this item in the hands of the U.S. for what eventually added up to 132 years and 24 defenses, including one led by Ted Turner--yes, that Ted Turner",the America's Cup
,,,,
KEN JENNINGS ON WINNING STREAKS,1,800,"(Ken Jennings presents the clue.) 28 publishers rejected the first book by this legal thriller master, but he'd have the last laugh by writing 28 consecutive number one fiction bestsellers",(John) Grisham
,,,,
KEN JENNINGS ON WINNING STREAKS,1,1000,"(Ken Jennings presents the clue.) The Persian Empire fell to him in the 330s B.C., then Western Asia Minor, the Mediterranean coast, Egypt, on into India; not bad for a guy barely over 30",Alexander the Great
,,,,
KNOW YOUR RIGHTS,1,200,"A century before the same-named act of 1964, this act of 1866 guaranteed the rights of those formerly enslaved",the Civil Rights Act
,,,,
KNOW YOUR RIGHTS,1,400,"The 2nd Amendment describes this 2-word type of ""militia""",well regulated
,,,,
KNOW YOUR RIGHTS,1,2000,"In 2020 Virginia became the 38th state to ratify this proposed amendment, but there's the matter of that 1982 deadline",the Equal Rights Amendment
,,,,
KNOW YOUR RIGHTS,1,800,"On July 17, 1918 this czar was proved mistaken in his belief in the divine right of kings, that only God can punish rulers",Nicholas II
,,,,
LAST WORDS,2,400,"If you ""jump to"" these final assessments, you've made a decision without all the facts",conclusions
,,,,
LAST WORDS,2,800,"This person who gives a ""goodbye"" speech is usually the top student in a graduating class",the valedictorian
,,,,
LAST WORDS,2,1200,"If this fabric item is ""up"", it's the beginning; plural, it's certainly the end",a curtain
,,,,
LAST WORDS,2,1600,"This word describes the type of carpentry done, of course, last on a house",finish carpentry
,,,,
LAST WORDS,2,2500,"This term for ""the end of the line"" was once a god celebrated at the end of the Roman year",terminus
,,,,
LET'S GET MEDICAL,2,400,In 2014 the first FDA-approved study in decades on this hallucinogen showed it has promise for end-of-life anxiety,LSD
,,,,
LET'S GET MEDICAL,2,800,Allopurinol may be prescribed to treat this form of arthritis that most commonly affects the big toe,gout
,,,,
LET'S GET MEDICAL,2,1200,"In addition to treating ADHD, this 7-letter drug aka methylphenidate is used to treat narcolepsy",Ritalin
,,,,
LET'S GET MEDICAL,2,1600,This procedure that helps determine fetal health samples the fluid that surrounds a baby,amniocentesis
,,,,
LET'S GET MEDICAL,2,2000,"A co-founder of the brain injury research institute, he was a movie subject for identifying CTE in football players",Bennet Omalu
,,,,
LIFETIME ACHIEVEMENT GRAMMYS,2,400,The first rap act honored was this reverend-led trio in 2016,Run-DMC
,,,,
LIFETIME ACHIEVEMENT GRAMMYS,2,800,"This singer of ""Blue Bayou"" has won a slew of Grammys and was honored with a Lifetime Achievement Grammy in 2016",Linda Ronstadt
,,,,
LIFETIME ACHIEVEMENT GRAMMYS,2,1200,"He got his lifetime award in 1991; almost 30 years later, his 2020 album ""Rough and Rowdy Ways"" went to No. 1",Bob Dylan
,,,,
LIFETIME ACHIEVEMENT GRAMMYS,2,1600,"This alliterative composer of ""Raindrops Keep Fallin' On My Head"" & many more hits was honored in 2008",Burt Bacharach
,,,,
LIFETIME ACHIEVEMENT GRAMMYS,2,2000,2019 recipients included this 76-year-old Spaniard with many a romantic crossover hit,Julio Iglesias
,,,,
"LIL NASDAQ ""X""",2,400,"On the NASDAQ this word precedes Biomedica, Industries & Bank Corp, but not comma or dictionary",Oxford
,,,,
"LIL NASDAQ ""X""",2,800,"This service features channels like Hip-Hop Nation, Ozzy's Boneyard & No Shoes Radio",SiriusXM Radio
,,,,
LITERARY TERMS,3,0,In medieval times it was a long tale of a hero like Gisli or Njall; today it means any story of epic length,saga
,,,,
MIDDLEWOMAN,1,200,Plain____Doe,Jane
,,,,
MIDDLEWOMAN,1,400,Saving____period,Grace
,,,,
MIDDLEWOMAN,1,600,Round____Hood,Robin
,,,,
MIDDLEWOMAN,1,800,Rambling____hip,Rose
,,,,
MIDDLEWOMAN,1,1000,Pretty____dreadful,Penny
,,,,
MOVIE MUSICALS,3,0,The area in which this 1961 musical was filmed was soon razed to make way for the new Lincoln Center,West Side Story
,,,,
MOVIE THRILLERS,2,400,"In ""Marathon Man"" Laurence Olivier plays war criminal Szell, who breaks out the tools he used as one of these",a dentist
,,,,
MOVIE THRILLERS,2,800,This 2020 thriller based on an H.G. Wells novel had the title character as an abusive ex stalking Elisabeth Moss,The Invisible Man
,,,,
MOVIE THRILLERS,2,1200,"Tom Hardy played the title role in this high-octane flick, but Charlize Theron stole the spotlight as Furiosa",Mad Max: Fury Road
,,,,
MOVIE THRILLERS,2,1600,"In ""The Transporter: Refueled"", Ed Skrein took the wheel from this British actor who starred in the previous 3 entries",Jason Statham
,,,,
MOVIE THRILLERS,2,2000,The dreams that take place at the climax of this Christopher Nolan film are dreamed inside the first class cabin of a 747,Inception
,,,,
MOVIES' LAST LINES,2,400,"Tobey Maguire: ""With great power comes great responsibility. This is my gift. My curse. Who am I? I'm...""",Spider-Man
,,,,
MOVIES' LAST LINES,2,800,"Morgan Freeman: ""I hope to see my friend & shake his hand. I hope the Pacific is as blue as it has been in my dreams. I hope""",The Shawshank Redemption
,,,,
MOVIES' LAST LINES,2,1200,"Guy Pearce: ""Now, where was I?""",Memento
,,,,
MOVIES' LAST LINES,2,3200,"Barnard Hughes: ""One thing about living in Santa Carla I never could stomach: all the damn vampires""",The Lost Boys
,,,,
MOVIES' LAST LINES,2,2000,"Patricia Arquette: ""Except maybe I wouldn't have named our son Elvis""",True Romance
,,,,
"MOVIN' ON ""UP""",1,200,In sports it happens when a favorite to win ends up losing,an upset
,,,,
"MOVIN' ON ""UP""",1,400,"In other words a rebellion, like the Boxer one in China in 1900",an uprising
,,,,
"MOVIN' ON ""UP""",1,600,"Cheerful, or a stroke used by an orchestra's conductor",upbeat
,,,,
"MOVIN' ON ""UP""",1,800,Traditionally this 13-letter word was used to refer to a junior or senior in high school or college,an upperclassman
,,,,
"MOVIN' ON ""UP""",1,1000,"From the Bible: ""There was a man in the land of Uz, whose name was Job; and that man was perfect and"" this",upright
,,,,
MUSIC FESTIVALS,2,400,"When Beyonc� headlined this California music festival in 2018, some called it ""Beychella""",Coachella
,,,,
MUSIC FESTIVALS,2,800,"This rainy city's music festival is fittingly named Bumbershoot, a slang word for an umbrella",Seattle
,,,,
MUSIC FESTIVALS,2,1200,"Perry Farrell claims he got the 5-syllable name for this long-running music festival from an episode of ""The Three Stooges""",Lollapalooza
,,,,
MUSIC FESTIVALS,2,1600,"200,000 people crowd a Belgian town of 18,000 for Tomorrowland, a festival of EDM, short for this ""music""",electronic dance music
,,,,
MUSIC FESTIVALS,2,2000,"This Tennessee music festival comes from a slang word on a Dr. John album title that means ""the best on the streets""",Bonnaroo
,,,,
MUSICAL INSTRUMENT ETYMOLOGY,1,200,"Hautbois, literally ""high"" & ""wood"", is the origin of the name of this double-reed instrument",oboe
,,,,
MUSICAL INSTRUMENT ETYMOLOGY,1,400,The name of this percussion instrument comes from the Greek for wood & voice,xylophone
,,,,
MUSICAL INSTRUMENT ETYMOLOGY,1,600,"The name of this oval flute, which can have up to ten finger holes, is from the Italian",ocarina
,,,,
MUSICAL INSTRUMENT ETYMOLOGY,1,2200,"Whether hammered or strummed, this instrument gets its name from the Latin for ""sweet song""",dulcimer
,,,,
MUSICAL INSTRUMENT ETYMOLOGY,1,1000,"This Renaissance-era stringed keyboard instrument sensibly gets its name from the Latin for ""key"" & ""string""",a clavichord
,,,,
MUSICAL STYLES,1,200,"Though lesser known than Joplin, African American James Scott was one of the great composers in this musical style",ragtime
,,,,
MUSICAL STYLES,1,400,"""The Hustle"" & ah, ah, ah, ah ""Stayin' Alive"" were 2 hits helping make up this '70s era",disco
,,,,
MUSICAL STYLES,1,600,"A 1992 N.Y. Times article asked how did this word ""meaning dirt, filth, trash, become synonymous with a musical genre?""",grunge
,,,,
MUSICAL STYLES,1,800,Selena was named Female Vocalist of the Year 11 times at the awards named for this style of Latin music,Tejano
,,,,
MUSICAL STYLES,1,1000,This composer and musician with the given names William Christopher was known as the Father of the Blues,W.C. Handy
,,,,
NAME THAT PART OF SPEECH,1,200,Remember,a verb
,,,,
NAME THAT PART OF SPEECH,1,400,Thou,pronoun
,,,,
NAME THAT PART OF SPEECH,1,600,Splendiferous,an adjective
,,,,
NAME THAT PART OF SPEECH,1,800,Already,adverb
,,,,
NAME THAT PART OF SPEECH,1,1000,Although,conjunction
,,,,
NAME THE DIRECTOR,1,200,"2016: ""Fences"", in which he also starred",Denzel Washington
,,,,
NAME THE DIRECTOR,1,400,"1997: rediscovering ""The Lost World: Jurassic Park""",Spielberg
,,,,
NAME THE DIRECTOR,1,600,"1935: taking ""The 39 Steps""",Hitchcock
,,,,
NAME THE DIRECTOR,1,800,"In 2017, a man unafraid of explosions: ""Transformers: The Last Knight""",Michael Bay
,,,,
NAME THE DIRECTOR,1,1000,"1991: ""Point Break"" (she'd win a directing Oscar for a later film)",(Kathryn) Bigelow
,,,,
NEW TECHNOLOGY,2,400,Dogs take notice: a new A.I. with neuromorphic computing may recognize these emitted by narcotics & explosives,scents
,,,,
NEW TECHNOLOGY,2,800,"NASA's Parker Probe is the fastest man-made thing ever--it will hit the speed of 430,000 mph en route to this heavenly body",the Sun
,,,,
NEW TECHNOLOGY,2,1200,"Using hydrogels, scientists achieved their goal of creating rudimentary versions of the charged organs in these marine animals",(electric) eels
,,,,
NEW TECHNOLOGY,2,1600,Airbus' solar-powered unmanned Zephyr aircraft can fly in this area of the atmosphere above the tropopause,the stratosphere
,,,,
NEW TECHNOLOGY,2,2000,"Instead of contaminating a burger, this bacterium can now make indigo in a process invented by a biotech company",E. coli
,,,,
NEW TO THE OED,1,200,"This zero-shaped bread product, now as a verb meaning to beat someone 6-0 in a set of tennis",a bagel
,,,,
NEW TO THE OED,1,400,This shortened word you might use to order some Sauvignon,cab
,,,,
NEW TO THE OED,1,600,This name of an alarmist fowl from a folk tale,Chicken Little
,,,,
NEW TO THE OED,1,800,"This word for a content creator on a certain video-sharing site, such as Yuya (beauty) or Moriah Elizabeth (crafts)",a YouTuber
,,,,
NEW TO THE OED,1,1000,"This 5-letter type of kosher, for food prepared strictly in accordance with Jewish dietary law",glatt
,,,,
NONFICTION,2,400,"""The Path Between the Seas"" is David McCullough's chronicle of the creation of this between 1870 & 1914",the Panama Canal
,,,,
NONFICTION,2,800,"This ancient city ""On Five Denarii a Day"" is the title of a time-traveling tourist guide by a Cambridge professor",Rome
,,,,
NONFICTION,2,4000,"Later a major motion picture, it was Sebastian Junger's ""True Story of Men Against the Sea""",The Perfect Storm
,,,,
NONFICTION,2,1600,Sarah Bradford's biography of this Renaissance Italian paints a more complete picture of her than the poisoner of myth,Lucrezia Borgia
,,,,
NONFICTION,2,2000,"After the success of ""Sex & the Single Girl"", Helen Gurley Brown became the editor of this women's magazine & transformed it",Cosmopolitan
,,,,
NORSEMEN,2,400,"Unlike H�gar's, the first complete Viking helmet ever found lacks these, largely an invention of a 19th century Wagner opera designer",horns
,,,,
NORSEMEN,2,800,In 2000 the U.S. & Iceland each issued a coin to honor the 1000 A.D. discovery of the New World by this man,Leif Erikson
,,,,
NORSEMEN,2,1200,"Norse games of myth included hnutukast, taking these from the carcass after a meal & throwing them at each other with intent to injure",bones
,,,,
NORSEMEN,2,1600,This name given to the northeast coast of North America by the Norsemen reflected the plants they found growing there,Vinland
,,,,
NORSEMEN,2,2000,"The longest known inscriptions in this Viking alphabet is on the R�kstenen, seen here",the Runic alphabet
,,,,
"NUMBER, PLEASE",1,200,A bar mitzvah traditionally celebrates the coming of age of a boy who is this many years old,13
,,,,
"NUMBER, PLEASE",1,400,The not so fun game of cleaning up after a disgruntled card player has this number in its name,52
,,,,
"NUMBER, PLEASE",1,600,"In baseball, the sum of balls & strikes represented by a full count",5
,,,,
"NUMBER, PLEASE",1,800,"This number follows ""Section"" in the name of a housing voucher program for those with low income",8
,,,,
"NUMBER, PLEASE",1,1000,"The word myriad can refer to any large number of things, or specifically to this big number",10000
,,,,
OCCUPATIONAL SONG TITLES,2,400,"""Any old music will do"" for Tina Turner in her hit song about a ""Private"" one of these",a dancer
,,,,
OCCUPATIONAL SONG TITLES,2,800,"To be this title person you've got to ""know when to walk away & know when to run""",a gambler
,,,,
OCCUPATIONAL SONG TITLES,2,1200,"In song, a desperate Warren Zevon requested these professionals along with ""guns & money""",lawyers
,,,,
OCCUPATIONAL SONG TITLES,2,1600,"Bob Marley sang about the ""Buffalo"" this to ""win the war for America""",soldier
,,,,
OCCUPATIONAL SONG TITLES,2,2000,"""Dear sir or madam will you read my book? It took me years to write, will you take a look?"" goes this Beatles tune","""Paperback Writer"""
,,,,
OF STING,2,400,"A stinger is an S.A.M., short for this type of missile",surface-to-air
,,,,
OF STING,2,1200,"In the second & last teaming of this actor & Robert Redford, they join forces to fleece Robert Shaw in ""The Sting""",Paul Newman
,,,,
OF STING,2,1600,These stinging plants emit chemicals that can hurt dogs that encounter  them,nettles
,,,,
OF STING,2,2000,"This 20th century poet wrote ""Stings"", referred to as her ""Bee Sequence"", posthumously published in ""Ariel"" in 1965",Sylvia Plath
,,,,
OLYMPIC SITES,2,400,"Mack Robinson, Jackie's older brother, finished second behind Jesse Owens at this city's Olympics",Berlin
,,,,
OLYMPIC SITES,2,800,"Countries like Armenia & Belarus fielded a ""Unified Team"" that competed in this city's 1992 Olympics",Barcelona
,,,,
OLYMPIC SITES,2,1200,"Squaw Valley, Calif. is best known for this sport in which Ernst Hinterseer of Austria & Heidi Biebl of Germany won gold there in 1960",(alpine) skiing
,,,,
OLYMPIC SITES,2,2000,Many countries joined the U.S. in boycotting the 1980 Summer Olympics hosted by this city,Moscow
,,,,
OLYMPIC SITES,2,2000,"The 2005 Special Olympics World Winter Games were held in this Japanese city, also home to the 1998 Winter Olympics",Nagano
,,,,
ON THE BOOKSHELF,2,400,"Tracy Chevalier's ""Girl with a Pearl Earring"" imagines the young woman who inspired a masterpiece by this Dutch painter",Vermeer
,,,,
ON THE BOOKSHELF,2,800,Lisbeth Salander has a Chinese symbol inked on her hip & a wasp on her neck as well as the design mentioned in the title of this novel,The Girl with the Dragon Tattoo
,,,,
ON THE BOOKSHELF,2,1200,"""The Final Days"" was Woodward & Bernstein's sequel to this nonfiction bestseller",All the President's Men
,,,,
ON THE BOOKSHELF,2,1600,"He followed up ""The Underground Railroad"" with ""The Nickel Boys""",Colson Whitehead
,,,,
ON THE BOOKSHELF,2,2000,"Dubbed the ""Queen of Suspense"" for such novels as ""You Belong to Me"", this beloved author passed away in 2020 at age 92",Mary Higgins Clark
,,,,
ON THE GLOBE,2,400,"The Libreria Acqua Alta or ""High Water Bookshop"" keeps its books in waterproof basins just in case this Italian city floods",Venice
,,,,
ON THE GLOBE,2,800,Notes left at this holy site are collected twice a year & buried at the Mount of Olives,the Wailing Wall
,,,,
ON THE GLOBE,2,3000,"(Sarah of the Clue Crew presents by a display monitor.) Argentina has a fertile region between two rivers, the Paran� and the Uruguay, that's known by this 11-letter name, the same as an ancient Middle Eastern civilization",Mesopotamia
,,,,
ON THE GLOBE,2,1600,"In 1986 this country got a new province, Flevoland, built completely on reclaimed land",the Netherlands
,,,,
ON THE GLOBE,2,2000,Pyongyang's Arch of Triumph was built in 1982 to honor the 70th birthday of this first North Korean leader,Kim Il-sung
,,,,
ON THE GO,1,200,"This live form of transportation is sometimes called the ""ship of the desert""",a camel
,,,,
ON THE GO,1,400,"Almost 100 years old, the Delta Queen is this kind of river steamboat, named for a feature 28 feet in diameter",a paddlewheel
,,,,
ON THE GO,1,600,"Ride the track from one end of the Las Vegas Strip to the other in about 15 minutes via this, similar to the one at Disneyland",a monorail
,,,,
ON THE GO,1,800,Competitors in this flat-on-your-back Winter Olympic sport can reach 90 miles per hour,luge
,,,,
ON THE GO,1,1000,In 1960 this nuclear sub bearing the name of Poseidon's son became the first to circumnavigate the globe underwater,Triton
,,,,
ON THE MAP,1,100,"The Bride, the Boyne & the Shannon rivers all traverse this country",Ireland
,,,,
ON THE MAP,1,200,In South America this Argentinian neighbor runs from about 20� S. latitude to 50� S. latitude,Chile
,,,,
ON THE MAP,1,300,"Covering about 40,000 square miles, it's the only country between Scotland & Greenland",Iceland
,,,,
ON THE MAP,1,400,This country is immediately south of Egypt & just west of the Red Sea,Sudan
,,,,
ON THE MAP,1,500,You'll find this island country about 60 miles south of Sicily,Malta
,,,,
ON THE OLD MAP,3,0,"On the U.N. website's map of the world in 1945, these 2 initials of a member state appear 13 times on continental Africa",U.K.
,,,,
ONE-LETTER GEOGRAPHY,2,400,"Due west of its capital Salem, this state's D River is billed as the world's shortest at 120 feet",Oregon
,,,,
ONE-LETTER GEOGRAPHY,2,800,"You'll find the region called ""U"" in Pohnpei, one of the Federated States of this multi-island Pacific nation",Micronesia
,,,,
ONE-LETTER GEOGRAPHY,2,1200,"Sweden, Denmark & Norway all have villages with the ""ring"" type of this vowel for a name",A
,,,,
ONE-LETTER GEOGRAPHY,2,1600,"This French village exists at the junction of 3 roads, hence its one-letter name",Y
,,,,
ONE-LETTER GEOGRAPHY,2,2000,"Mount E on this island is at the entrance to the Tsugaru Strait, across which lies Honshu",Hokkaido
,,,,
OPENING STATEMENTS,1,200,"This girl ""lived in the midst of the great Kansas prairies, with Uncle Henry...""",Dorothy
,,,,
OPENING STATEMENTS,1,400,"""Moby-Dick"" begins with this 3-word sentence","""Call me Ishmael."""
,,,,
OPENING STATEMENTS,1,600,"She started a novel, ""Emma Woodhouse, handsome, clever, and rich...""",Jane Austen
,,,,
OPENING STATEMENTS,1,800,"""Happy families are all alike"", begins his ""Anna Karenina""",Tolstoy
,,,,
OPENING STATEMENTS,1,1000,"This Poe story begins, ""True!--nervous--very, very dreadfully nervous I had been and am""","""The Tell-Tale Heart"""
,,,,
PEOPLE IN POETRY,1,100,"His poem on teacher Parker Cleaveland is less well known than his ""Paul Revere's Ride""",Longfellow
,,,,
PEOPLE IN POETRY,1,200,"This British Lord Protector spares a maiden's lover in the once-famous poem ""Curfew Must Not Ring Tonight""",Cromwell
,,,,
PEOPLE IN POETRY,1,600,"John Ashbery wrote of this U.S. president, ""He wasn't a bad egg. Just weak, he loved women and Ohio""",Warren G. Harding
,,,,
PEOPLE IN POETRY,1,400,"Allen Ginsberg imagined this poet, who sang of himself, out shopping for bananas",Whitman
,,,,
PEOPLE IN POETRY,1,500,"In a poem on painter Andrea del Sarto, Robert Browning wrote that ""A man's reach should exceed"" this",his grasp
,,,,
"PIECES OF ""EIGHT""",1,200,LXXVIII,seventy-eight
,,,,
"PIECES OF ""EIGHT""",1,400,I could have had this type of internal-combustion engine with 2 opposed banks of 4 cylinders,a V-eight
,,,,
"PIECES OF ""EIGHT""",1,600,"A 134-pound boxer, or a guy who can't hold his booze",a lightweight
,,,,
"PIECES OF ""EIGHT""",1,800,"An ice skating move, or a type of knot",a figure eight
,,,,
"PIECES OF ""EIGHT""",1,1000,"Perhaps foreign objects if you weren't around to enjoy music in the 1970s, they're the items seen here",eight-tracks
,,,,
PIONEERING EDUCATORS,3,0,"Before going into education, she graduated from the University of Rome in 1896 & was named assistant doctor at its psych clinic",(Maria) Montessori
,,,,
PLACES OF SUBSTANCE,2,400,"This Michigan industrial city bears the name of a river named for a ""fire stone""",Flint
,,,,
PLACES OF SUBSTANCE,2,800,It's a compound of the element with symbol Te; it's also a Colorado ski town,telluride
,,,,
PLACES OF SUBSTANCE,2,1200,"""U"" oughta know that this city in Saskatchewan got its name from ore deposits of a radioactive element",Uranium City
,,,,
PLACES OF SUBSTANCE,2,1600,This alliterative Maryland place is named for the color of the mica flakes found in the local water,Silver Spring
,,,,
PLACES OF SUBSTANCE,2,2000,An area of Lebanon County in this state is called Anthracite,Pennsylvania
,,,,
PLAYING THE PART ON TV,2,400,Vinnie Verducci; Joey Tribbiani,Matt LeBlanc
,,,,
PLAYING THE PART ON TV,2,800,Olivia Benson; Kate Conklin the Mounted Cop,Mariska Hargitay
,,,,
PLAYING THE PART ON TV,2,1200,"Sarah Palin (in a TV movie); Frannie Hughes (on ""As the World Turns"" in the 1980s)",Julianne Moore
,,,,
PLAYING THE PART ON TV,2,1600,"Mr. Sulu; his own head on ""Futurama""",George Takei
,,,,
PLAYING THE PART ON TV,2,2000,"Angela Abar / Sister Night on ""Watchmen""; Sandra Palmer on ""24""",Regina King
,,,,
PLAYS,2,400,"In ""Twelve Angry Men"", the men make up this group",a jury
,,,,
PLAYS,2,800,"Tracie Bennett was spot on as this legendary performer in ""End of the Rainbow"", set towards the end of her life",Judy Garland
,,,,
PLAYS,2,2000,Bradley Cooper used no makeup or prosthetics in the role of John Merrick in a Broadway revival of this play,The Elephant Man
,,,,
PLAYS,2,1600,"This Wendy Wasserstein play focuses on 3 Jewish siblings: Sara, Gorgeous & Pfeni",The Sisters Rosensweig
,,,,
PLAYS,2,2000,"The musical ""Hello, Dolly!"" was based on this 1954 Thornton Wilder play that also featured Dolly Levi",The Matchmaker
,,,,
POLITICS GETS PHYSICAL,1,200,"During an 1858 brawl on the House floor, one representative accidentally grabbed this off the head of another, revealing him to be bald",a wig or toup�e
,,,,
POLITICS GETS PHYSICAL,1,400,"""Elbowgate"" rocked Ottawa after this PM bumped a rival MP in the chest before a 2016 House of Commons vote",Justin Trudeau
,,,,
POLITICS GETS PHYSICAL,1,600,"In Arkansas in 1837, one representative fatally stabbed another with this weapon named for a man killed the year before",a Bowie knife
,,,,
POLITICS GETS PHYSICAL,1,800,"In 1972 an Ulster MP slapped Britain's home secretary who told parliament that ""Bloody"" this day was self-defense by British troops",Bloody Sunday
,,,,
POLITICS GETS PHYSICAL,1,1000,"After John McLaurin & Benjamin Tillman traded punches on the Senate floor in 1902, the Senate voted 54-12 to give both this rebuke",a censure
,,,,
POTPOURRI,1,200,"In 2010 the Air Force Research Lab built one of the world's fastest computers using more than 1,700 of these Sony game systems",Playstation
,,,,
POTPOURRI,1,400,"This nail-filing powder is traditionally crushed corundum, whether or not it's on a ""board""",emery
,,,,
POTPOURRI,1,600,"This man whose first name means ""brave lion"" designed a lion automaton in the 16th century",Leonardo da Vinci
,,,,
POTPOURRI,1,800,In 1932 Brazil's Olympic team had to sell bags of this crop while sailing to Los Angeles in order to pay for the trip,coffee
,,,,
POTPOURRI,1,1000,"HBO's ""John Adams"" depicted an actual administration of this sticky 2-part punishment",tarring & feathering
,,,,
PRESIDENT & ACCOUNTED FOR,2,400,"Writing about immigration in 2019, Mexico's President  L�pez Obrador said this American landmark ""is not an empty symbol""",the Statue of Liberty
,,,,
PRESIDENT & ACCOUNTED FOR,2,800,He was Cuba's defense minister from 1959 to 2006; then he became acting president,Ra�l Castro
,,,,
PRESIDENT & ACCOUNTED FOR,2,1200,"This politician who said, ""Being rich is bad, it's inhuman"" had a TV show called ""Hello President"" before his death in Caracas in 2013",Hugo Ch�vez
,,,,
PRESIDENT & ACCOUNTED FOR,2,1600,He didn't let a little thing like the military forcing him to quit stop him for long; he was back as Argentina's president in 1973,(Juan) Per�n
,,,,
PRESIDENT & ACCOUNTED FOR,2,2000,Hamid Karzai was president of this country from 2002 to 2014,Afghanistan
,,,,
RAISE THE FLAG,1,200,"A flag with real significance for peaceful uses; proverbially, if you ""raise"" it you yield",white flag
,,,,
RAISE THE FLAG,1,400,"Historically, a ship flies a distress flag at half-mast or this way",upside down
,,,,
RAISE THE FLAG,1,600,"In a third verse this title object ""in triumph doth wave / O'er the land of the free and the home of the brave""",the star-spangled banner
,,,,
RAISE THE FLAG,1,800,"Gonfalon, an old name for a flag, was once used by baseball writers to mean this, what every team wants to win",the pennant
,,,,
RAISE THE FLAG,1,1000,This other name for an army base or post also refers to the huge 20' x 38' flag flown over it,garrison
,,,,
RESTAURANT RHYMES,2,400,Offerings like bangers & mash served in a British bar,pub grub
,,,,
RESTAURANT RHYMES,2,800,The athletic activity in a shopping mall cuisine area,food court sport
,,,,
RESTAURANT RHYMES,2,1200,The workers at the window where you order & pick up your burgers without getting out of your car,a drive-thru crew
,,,,
RESTAURANT RHYMES,2,1600,A less important casual restaurant similar to a coffee shop,a minor diner
,,,,
RESTAURANT RHYMES,2,2000,A 1950s dance party at a place the 18-wheeler drivers go,a truck stop sock hop
,,,,
ROCK STARS,2,400,"(Conan O'Brien presents the clue.) Forced to engage in a guitar battle with the virtuoso Jack Black, I cheated a smidge and employed this curly-haired, top-hatted legend, aka Saul Hudson",Slash
,,,,
ROCK STARS,2,800,"In 1975 ""Dreamboat Annie"" was the debut album for this band fronted by a pair of sisters",Heart
,,,,
ROCK STARS,2,1200,"One name off from a German composer, this metal front man skidded into pop culture relevance voicing Triton on ""SpongeBob""",Sebastian Bach
,,,,
ROCK STARS,2,1600,"Serjical Strike is the label of Serj Tankian, known for starting this group in 1995",System of a Down
,,,,
